,Event label,Identification,Identification,Cruise/expedition,Set,Species,"DEPTH, water [m]",LATITUDE,LONGITUDE,"Temperature, water [Â°C]",Salinity,Gear,Year of observation [a AD],DATE/TIME,Code,Code,Code,Code,"Accession number, genetics",Elevation [m]
0,PAA2013008_Gb12,Gb12,157.0,PAA2013008,44.0,Geodia barretti,1238.0,62.85113,-59.99052,,,Alfredo,2013.0,2013-01-01,IE_20170918_04501,IE_20170919_03601,IE_20171002_05101,IE_20171003_04101,insdc:SRX3993962,-1238.0
1,PAA2013008_Gb1,Gb1,169.0,PAA2013008,46.0,Geodia barretti,407.0,62.88293,-61.29213,2.41,34.49,Alfredo,2013.0,2013-01-01,IE_20170918_02801,IE_20170919_04001,IE_20171002_04001,IE_20171003_01801,insdc:SRX3993939,-407.0
2,PAA2013008_Gb2,Gb2,174.0,PAA2013008,47.0,Geodia barretti,440.0,62.76543,-61.4302,2.77,34.59,Alfredo,2013.0,2013-01-01,IE_20170918_05601,IE_20170919_06501,IE_20171002_05701,IE_20171003_01601,insdc:SRX3993936,-440.0
3,PAA2013008_Gb8,Gb8,176.0,PAA2013008,48.0,Geodia barretti,700.0,62.78033,-61.15217,3.67,34.8,Alfredo,2013.0,2013-01-01,IE_20170918_06601,IE_20170919_06801,IE_20171002_07001,IE_20171003_04801,insdc:SRX3993945,-700.0
4,PAA2013008_Gb9,Gb9,177.0,PAA2013008,50.0,Geodia barretti,744.0,62.5893,-61.04198,3.87,34.83,Alfredo,2013.0,2013-01-01,IE_20170918_07201,IE_20170919_06601,IE_20171002_04301,IE_20171003_03401,insdc:SRX3993957,-744.0
5,PAA2011007_Gb15,Gb15,255.0,PAA2011007,126.0,Geodia barretti,563.0,62.55291,-61.373675,3.63,34.75,Alfredo,2011.0,2011-01-01,IE_20170918_02901,IE_20170919_03501,IE_20171002_06301,IE_20171003_02501,,-563.0
6,PAA2011007_Gb10,Gb10,262.0,PAA2011007,128.0,Geodia barretti,801.0,62.62814,-60.925362,4.08,34.89,Alfredo,2011.0,2011-01-01,IE_20170918_04201,IE_20170919_02401,IE_20171002_04201,IE_20171003_05101,insdc:SRX3993944,-801.0
7,PAA2014007_Gb13,Gb13,278.0,PAA2014007,125.0,Geodia barretti,1332.0,62.5184,-59.970517,3.6,34.92,Alfredo,2014.0,2014-01-01,IE_20170918_06401,IE_20170919_01601,IE_20171002_06101,IE_20171003_02801,insdc:SRX3993959,-1332.0
8,PAA2015007_Gb17,Gb17,289.0,PAA2015007,60.0,Geodia barretti,557.0,62.42628,-61.25654,3.65,34.74,Alfredo,2015.0,2015-01-01,IE_20170918_06101,IE_20170919_06401,IE_20171002_02901,IE_20171003_05301,,-557.0
9,PAA2015007_Gb7,Gb7,299.0,PAA2015007,62.0,Geodia barretti,667.0,62.68804,-61.28264,3.73,34.8,Alfredo,2015.0,2015-01-01,IE_20170918_05001,IE_20170919_04201,IE_20171002_02501,IE_20171003_03601,insdc:SRX3993941,-667.0
10,PAA2013008_Gb14,Gb14,302.0,PAA2013008,141.0,Geodia barretti,1427.0,62.0539,-60.09182,3.78,34.92,Alfredo,2013.0,2013-01-01,IE_20170918_02701,IE_20170919_01401,IE_20171002_03701,IE_20171003_03701,insdc:SRX3993958,-1427.0
11,PAA2013008_Gb18,Gb18,305.0,PAA2013008,142.0,Geodia barretti,1370.0,62.24725,-60.0496,3.7,34.92,Alfredo,2013.0,2013-01-01,IE_20170918_07401,IE_20170919_06701,IE_20171002_06901,IE_20171003_06901,,-1370.0
12,PAA2013008_Gb19,Gb19,31.0,PAA2013008,10.0,Geodia barretti,542.0,65.448,-58.18323,2.05,34.54,Alfredo,2013.0,2013-01-01,IE_20170918_05401,IE_20170919_03001,IE_20171002_01801,IE_20171003_06201,,-542.0
13,PAA2014007_Gb3,Gb3,321.0,PAA2014007,136.0,Geodia barretti,483.0,62.19923,-61.2192,3.7,34.7,Alfredo,2014.0,2014-01-01,IE_20170918_05501,IE_20170919_03301,IE_20171002_03301,IE_20171003_02301,insdc:SRX3993937,-483.0
14,PAA2011007_Gb20,Gb20,533.0,PAA2011007,23.0,Geodia barretti,1462.0,62.551802,-59.527228,,,Alfredo,2011.0,2011-01-01,IE_20170918_03901,IE_20170919_04401,IE_20171002_02701,IE_20171003_05601,,-1462.0
15,PAA2011007_Gb21,Gb21,634.0,PAA2011007,139.0,Geodia barretti,528.0,63.938048,-60.027428,,,Alfredo,2011.0,2011-01-01,IE_20170918_06501,IE_20170919_02301,IE_20171002_01501,IE_20171003_06801,,-528.0
16,,QC1,,,,,,,,,,,,,IE_20170918_02001,IE_20170919_01301,IE_20171002_01401,IE_20171003_01301,,
17,,QC2,,,,,,,,,,,,,IE_20170918_02601,IE_20170919_01901,IE_20171002_02001,IE_20171003_02001,,
18,,QC3,,,,,,,,,,,,,IE_20170918_03201,IE_20170919_02501,IE_20171002_02601,IE_20171003_02601,,
19,,QC4,,,,,,,,,,,,,IE_20170918_03801,IE_20170919_03201,IE_20171002_03201,IE_20171003_03201,,
20,,QC5,,,,,,,,,,,,,IE_20170918_04401,IE_20170919_03801,IE_20171002_03801,IE_20171003_03801,,
21,,QC6,,,,,,,,,,,,,IE_20170918_05101,IE_20170919_04501,IE_20171002_04401,IE_20171003_04401,,
22,,QC7,,,,,,,,,,,,,IE_20170918_05701,IE_20170919_05101,IE_20171002_05001,IE_20171003_05001,,
23,,QC8,,,,,,,,,,,,,IE_20170918_06301,IE_20170919_05701,IE_20171002_05601,IE_20171003_05701,,
24,,QC9,,,,,,,,,,,,,IE_20170918_07001,IE_20170919_06301,IE_20171002_06201,IE_20171003_06401,,
25,,QC10,,,,,,,,,,,,,IE_20170918_07601,IE_20170919_06901,IE_20171002_06801,IE_20171003_07001,,
26,,QC11,,,,,,,,,,,,,,,IE_20171002_07201,,,
27,PAA2011007_Sf4,Sf4,103.0,PAA2011007,32.0,Stryphnus fortis,733.0,62.170797,-60.781817,3.78,34.82,Alfredo,2011.0,2011-01-01,IE_20170918_04001,IE_20170919_02901,IE_20171002_02101,IE_20171003_03301,insdc:SRX3993927,-733.0
28,PAA2013008_Sf6,Sf6,159.0,PAA2013008,45.0,Stryphnus fortis,899.0,62.98347,-60.30927,4.08,34.92,Alfredo,2013.0,2013-01-01,IE_20170918_06901,IE_20170919_02801,IE_20171002_06501,IE_20171003_02401,insdc:SRX3993946,-899.0
29,PAA2014007_Sf3,Sf3,221.0,PAA2014007,95.0,Stryphnus fortis,627.0,66.38245,-58.317417,1.93,34.53,Alfredo,2014.0,2014-01-01,IE_20170918_06701,IE_20170919_05801,IE_20171002_05401,IE_20171003_05401,insdc:SRX3993926,-627.0
30,PAA2014007_Sf15,Sf15,275.0,PAA2014007,124.0,Stryphnus fortis,1476.0,62.522033,-59.39852,3.65,34.92,Alfredo,2014.0,2014-01-01,IE_20170918_02501,IE_20170919_02601,IE_20171002_04101,IE_20171003_06501,insdc:SRX3993938,-1476.0
31,PAA2013008_Sf2,Sf2,280.0,PAA2013008,135.0,Stryphnus fortis,572.0,61.76735,-61.72832,4.57,34.89,Alfredo,2013.0,2013-01-01,IE_20170918_02201,IE_20170919_01801,IE_20171002_07101,IE_20171003_02201,insdc:SRX3993935,-572.0
32,PAA2014007_Sf12,Sf12,284.0,PAA2014007,126.0,Stryphnus fortis,1324.0,62.36087,-60.07323,3.59,34.92,Alfredo,2014.0,2014-01-01,IE_20170918_03701,IE_20170919_02701,IE_20171002_03601,IE_20171003_04301,insdc:SRX3993952,-1324.0
33,PAA2011007_Sf7,Sf7,292.0,PAA2011007,132.0,Stryphnus fortis,887.0,63.247158,-60.165435,4.02,34.88,Alfredo,2011.0,2011-01-01,IE_20170918_07301,IE_20170919_06101,IE_20171002_05801,IE_20171003_05901,insdc:SRX3993949,-887.0
34,PAA2013008_Sf13,Sf13,296.0,PAA2013008,141.0,Stryphnus fortis,1427.0,62.0539,-60.09182,3.78,34.92,Alfredo,2013.0,2013-01-01,IE_20170918_05901,IE_20170919_02001,IE_20171002_04701,IE_20171003_03101,insdc:SRX3993955,-1427.0
35,PAA2014007_Sf1,Sf1,320.0,PAA2014007,136.0,Stryphnus fortis,483.0,62.19923,-61.2192,3.7,34.7,Alfredo,2014.0,2014-01-01,IE_20170918_07501,IE_20170919_03401,IE_20171002_01701,IE_20171003_04701,insdc:SRX3993934,-483.0
36,PAA2013008_Sf10,Sf10,339.0,PAA2013008,151.0,Stryphnus fortis,1128.0,62.85072,-58.78482,3.93,34.92,Alfredo,2013.0,2013-01-01,IE_20170918_04801,IE_20170919_01701,IE_20171002_06401,IE_20171003_01701,insdc:SRX3993950,-1128.0
37,PAA2011007_Sf14,Sf14,43.0,PAA2011007,16.0,Stryphnus fortis,1448.0,63.249477,-57.96573,3.58,34.92,Alfredo,2011.0,2011-01-01,IE_20170918_06201,IE_20170919_05301,IE_20171002_06601,IE_20171003_06101,insdc:SRX3993954,-1448.0
38,PAA2014007_Sf5,Sf5,495.0,PAA2014007,141.0,Stryphnus fortis,829.0,62.84707,-60.53698,4.09,34.89,Alfredo,2014.0,2014-01-01,IE_20170918_03501,IE_20170919_03901,IE_20171002_02201,IE_20171003_06601,insdc:SRX3993947,-829.0
39,PAA2011007_Sf11,Sf11,544.0,PAA2011007,22.0,Stryphnus fortis,1189.0,62.528587,-59.202887,3.88,34.91,Alfredo,2011.0,2011-01-01,IE_20170918_02101,IE_20170919_05401,IE_20171002_03501,IE_20171003_04601,insdc:SRX3993953,-1189.0
40,PAA2013008_Wb4,Wb4,120.0,PAA2013008,32.0,Weberella bursa,471.0,64.58065,-59.13768,1.99,34.47,Alfredo,2013.0,2013-01-01,IE_20170918_03101,IE_20170919_05501,IE_20171002_01601,IE_20171003_05501,insdc:SRX3993964,-471.0
41,PAA2013008_Wb17,Wb17,18.0,PAA2013008,8.0,Weberella bursa,645.0,65.02363,-58.17635,2.97,34.71,Alfredo,2013.0,2013-01-01,IE_20170918_05301,IE_20170919_04101,IE_20171002_05201,IE_20171003_01901,,-645.0
42,PAA2014007_Wb13,Wb13,250.0,PAA2014007,116.0,Weberella bursa,1061.0,63.385417,-58.56325,3.79,34.91,Alfredo,2014.0,2014-01-01,IE_20170918_03301,IE_20170919_06001,IE_20171002_03101,IE_20171003_04201,insdc:SRX3993930,-1061.0
43,PAA2013008_Wb1,Wb1,251.0,PAA2013008,128.0,Weberella bursa,244.0,61.57688,-66.0866,0.37,33.29,Cosmos,2013.0,2013-01-01,IE_20170918_03001,IE_20170919_03701,IE_20171002_04501,IE_20171003_01401,insdc:SRX3993965,-244.0
44,PAA2011007_Wb15,Wb15,275.0,PAA2011007,131.0,Weberella bursa,1107.0,63.101907,-59.966512,3.82,34.91,Alfredo,2011.0,2011-01-01,IE_20170918_05801,IE_20170919_02101,IE_20171002_05301,IE_20171003_01501,insdc:SRX3993932,-1107.0
45,PAA2011007_Wb10,Wb10,317.0,PAA2011007,134.0,Weberella bursa,820.0,63.54833,-59.918103,4.12,34.91,Alfredo,2011.0,2011-01-01,IE_20170918_04901,IE_20170919_05001,IE_20171002_02801,IE_20171003_02101,insdc:SRX3993961,-820.0
46,PAA2013008_Wb16,Wb16,343.0,PAA2013008,152.0,Weberella bursa,1271.0,63.06917,-58.5297,3.81,34.92,Alfredo,2013.0,2013-01-01,IE_20170918_06001,IE_20170919_04801,IE_20171002_01901,IE_20171003_05201,insdc:SRX3993933,-1271.0
47,PAA2014007_Wb3,Wb3,352.0,PAA2014007,142.0,Weberella bursa,441.0,63.0277,-60.672717,3.79,34.72,Alfredo,2014.0,2014-01-01,IE_20170918_04301,IE_20170919_01501,IE_20171002_05901,IE_20171003_06701,insdc:SRX3993963,-441.0
48,PAA2013008_Wb11,Wb11,353.0,PAA2013008,158.0,Weberella bursa,876.0,63.696,-58.77515,4.05,34.92,Alfredo,2013.0,2013-01-01,IE_20170918_04701,IE_20170919_05901,IE_20171002_04801,IE_20171003_02701,insdc:SRX3993928,-876.0
49,PAA2011007_Wb5,Wb5,361.0,PAA2011007,142.0,Weberella bursa,487.0,64.298317,-59.251742,2.32,34.56,Alfredo,2011.0,2011-01-01,IE_20170918_02301,IE_20170919_06201,IE_20171002_03401,IE_20171003_04501,insdc:SRX3993969,-487.0
50,PAA2014007_Wb6,Wb6,427.0,PAA2014007,155.0,Weberella bursa,560.0,65.31817,-58.17717,2.31,34.57,Alfredo,2014.0,2014-01-01,IE_20170918_07101,IE_20170919_05601,IE_20171002_04601,IE_20171003_03001,insdc:SRX3993970,-560.0
51,PAA2014007_Wb7,Wb7,528.0,PAA2014007,151.0,Weberella bursa,632.0,64.56132,-58.68083,3.05,34.7,Alfredo,2014.0,2014-01-01,IE_20170918_04101,IE_20170919_05201,IE_20171002_06001,IE_20171003_03501,insdc:SRX3993968,-632.0
52,PAA2011007_Wb12,Wb12,53.0,PAA2011007,19.0,Weberella bursa,918.0,63.35686,-59.225978,3.96,34.91,Alfredo,2011.0,2011-01-01,IE_20170918_04601,IE_20170919_04301,IE_20171002_03001,IE_20171003_06001,insdc:SRX3993929,-918.0
53,PAA2011007_Wb14,Wb14,58.0,PAA2011007,21.0,Weberella bursa,1104.0,62.690007,-58.942747,3.77,34.91,Alfredo,2011.0,2011-01-01,IE_20170918_03401,IE_20170919_04701,IE_20171002_04901,IE_20171003_03901,insdc:SRX3993931,-1104.0
54,PAA2011007_Wb2,Wb2,658.0,PAA2011007,67.0,Weberella bursa,331.0,61.316352,-68.78077,2.23,34.13,Cosmos,2011.0,2011-01-01,IE_20170918_06801,IE_20170919_02201,IE_20171002_02401,IE_20171003_02901,insdc:SRX3993966,-331.0
55,PAA2013008_Wb8,Wb8,7.0,PAA2013008,5.0,Weberella bursa,668.0,64.52757,-58.66903,3.86,34.85,Alfredo,2013.0,2013-01-01,IE_20170918_03601,IE_20170919_04601,IE_20171002_05501,IE_20171003_05801,insdc:SRX3993967,-668.0
56,PAA2015007_Gb11,Gb11,126.0,PAA2015007,32.0,Geodia barretti,1213.0,62.87086,-58.6262,3.58,34.92,Alfredo,2015.0,2015-01-01,,,,,insdc:SRX3993956,-1213.0
57,PAA2011007_Gb4,Gb4,225.0,PAA2011007,114.0,Geodia barretti,514.0,61.908942,-63.637153,4.52,34.82,Alfredo,2011.0,2011-01-01,,,,,insdc:SRX3993942,-514.0
58,PAA2014007_Gb5,Gb5,514.0,PAA2014007,152.0,Geodia barretti,561.0,64.891,-58.551267,2.99,34.7,Alfredo,2014.0,2014-01-01,,,,,insdc:SRX3993943,-561.0
59,PAA2011007_Gb6,Gb6,127.0,PAA2011007,39.0,Geodia barretti,563.0,61.147942,-63.560678,4.44,34.82,Alfredo,2011.0,2011-01-01,,,,,insdc:SRX3993940,-563.0
60,PAA2015007_Sf8,Sf8,327.0,PAA2015007,68.0,Stryphnus fortis,916.0,63.09856,-60.2211,3.88,34.9,Alfredo,2015.0,2015-01-01,,,,,insdc:SRX3993948,-916.0
61,PAA2015007_Sf9,Sf9,164.0,PAA2015007,38.0,Stryphnus fortis,1036.0,62.65548,-59.15816,3.64,34.91,Alfredo,2015.0,2015-01-01,,,,,insdc:SRX3993951,-1036.0
62,PAA2011007_Wb9,Wb9,18.0,PAA2011007,8.0,Weberella bursa,728.0,64.52541,-58.406818,4.01,34.91,Alfredo,2011.0,2011-01-01,,,,,insdc:SRX3993960,-728.0
